current,TOA5_JSav_2007_05_04_1330,TOA5_JSav_2007_06_01_1530,TOA5_JSav_2007_08_31_1330,TOA5_JSav_2007_10_16_1030,TOA5_JSav_2007_12_21_1630,TOA5_JSav_2008_02_25_1425,TOA5_JSav_2008_09_23_1030,TOA5_JSav_2009_03_06_1500,TOA5_JSav_2009_07_08_1600,TOA5_JSav_2011_10_09_1000,TOA5_JSav_2011_10_27_1230,TOA5_JSav_2012_04_27_1230,TOA5_JSav_2013_10_22_1300,TOA5_JSav_2014_01_10_1030,TOA5_JSav_2014_02_07_1130,TOA5_JSav_2014_02_25_1400,TOA5_JSav_2014_02_27_1800,TOA5_JSav_2014_03_12_1500,TOA5_JSav_2014_04_15_1000
AirTC_10_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,current,current,current,current,current,current
AirTC_3p7_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,current,current,current,current,current,current
RH_10_Avg,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,current,current,current,current,current,current
RH_3p7_Avg,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,RH_2,current,current,current,current,current,current
co2_mean_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,current,current,current,current,current,current
co2_um_m_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current,current,current,current
stdev_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,current,current,current,current,current,current
stdev_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current,current,current,current,current
stdev_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current,current,current,current
cov_co2_Ux,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,current,current,current,current,current,current
cov_h2o_Ux,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,current,current,current,current,current,current
cov_Ts_Ux,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,current,current,current,current,current,current
stdev_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current,current,current,current
cov_co2_Uy,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,current,current,current,current,current,current
cov_h2o_Uy,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,current,current,current,current,current,current
cov_Ts_Uy,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,current,current,current,current,current,current
stdev_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current,current,current,current
cov_co2_Uz,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,current,current,current,current,current,current
cov_h2o_Uz,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,current,current,current,current,current,current
cov_Ts_Uz,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,current,current,current,current,current,current
cov_Ux_Uz,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,current,current,current,current,current,current
cov_Uy_Uz,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,current,current,current,current,current,current
stdev_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current,current,current,current,current
e_hmp_mean_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,current,current,current,current,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,current,current,current,current,current,current
h2o_hmp_mean_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,current,current,current,current,current,current
h2o_mm_m_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,current,current,current,current,current,current
Hc,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Hs,current,current,current,current,current,current,current,current,current,current,current,current,current,dne,dne,dne,dne,dne,dne
par_facedown_Avg,dne,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,par_Avg_2,current,current,current,current,current,current
par_faceup_Avg,dne,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,par_Avg_1,current,current,current,current,current,current
rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,current,current,current,current,current,current
sig_lck_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,current,current,current,current,current,current
low12V_5000_Tot,current,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,low12V_5000,current,current,current,current,current,current
panelT_5000_in_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,panelT_5000_Avg,current,current,current,current,current
CNR1TC_Avg,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current,current
SWC_O1_5_Avg,dne,dne,Period_1,Period_1,Period_1,cs616_wcr_1,cs616_wcr_1,cs616_wcr_1,cs616_wcr_10_rename,Period_10_rename,cs616_wcr_10_rename,dne,dne,dne,dne,SWC_O1_2p5_Avg,SWC_O1_2p5_Avg,SWC_O1_2p5_Avg,current
SWC_O1_10_Avg,dne,dne,Period_2,Period_2,Period_2,cs616_wcr_2,cs616_wcr_2,cs616_wcr_2,cs616_wcr_11_rename,Period_11_rename,cs616_wcr_11_rename,dne,dne,dne,dne,SWC_O1_12p5_Avg,SWC_O1_12p5_Avg,SWC_O1_12p5_Avg,current
SWC_O1_20_Avg,dne,dne,Period_3,Period_3,Period_3,cs616_wcr_3,cs616_wcr_3,cs616_wcr_3,cs616_wcr_12_rename,Period_12_rename,cs616_wcr_12_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,SWC_O1_32p5_Avg,SWC_O1_32p5_Avg,SWC_O1_32p5_Avg,current
SWC_O1_40_Avg,dne,dne,Period_4,Period_4,Period_4,cs616_wcr_4,cs616_wcr_4,cs616_wcr_4,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_5_Avg,dne,dne,Period_5,Period_5,Period_5,cs616_wcr_5,cs616_wcr_5,cs616_wcr_5,cs616_wcr_13_rename,Period_13_rename,cs616_wcr_13_rename,dne,dne,dne,dne,SWC_O2_2p5_Avg,SWC_O2_2p5_Avg,SWC_O2_2p5_Avg,current
SWC_O2_10_Avg,dne,dne,Period_6,Period_6,Period_6,cs616_wcr_6,cs616_wcr_6,cs616_wcr_6,cs616_wcr_14_rename,Period_14_rename,cs616_wcr_14_rename,dne,dne,dne,dne,SWC_O2_12p5_Avg,SWC_O2_12p5_Avg,SWC_O2_12p5_Avg,current
SWC_O2_20_Avg,dne,dne,Period_7,Period_7,Period_7,cs616_wcr_7,cs616_wcr_7,cs616_wcr_7,cs616_wcr_15_rename,Period_15_rename,cs616_wcr_15_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,SWC_O2_32p5_Avg,SWC_O2_32p5_Avg,SWC_O2_32p5_Avg,current
SWC_O2_40_Avg,dne,dne,Period_8,Period_8,Period_8,cs616_wcr_8,cs616_wcr_8,cs616_wcr_8,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_5_Avg,dne,dne,Period_9,Period_9,Period_9,cs616_wcr_9,cs616_wcr_9,cs616_wcr_9,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_10_Avg,dne,dne,Period_10,Period_10,Period_10,cs616_wcr_10,cs616_wcr_10,cs616_wcr_10,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_20_Avg,dne,dne,Period_11,Period_11,Period_11,cs616_wcr_11,cs616_wcr_11,cs616_wcr_11,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_40_Avg,dne,dne,Period_12,Period_12,Period_12,cs616_wcr_12,cs616_wcr_12,cs616_wcr_12,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_J1_5_Avg,dne,dne,Period_13,Period_13,Period_13,cs616_wcr_13,cs616_wcr_13,cs616_wcr_13,cs616_wcr_1_rename,Period_1_rename,cs616_wcr_1_rename,dne,dne,dne,dne,SWC_J1_2p5_Avg,SWC_J1_2p5_Avg,SWC_J1_2p5_Avg,current
SWC_J1_10_Avg,dne,dne,Period_14,Period_14,Period_14,cs616_wcr_14,cs616_wcr_14,cs616_wcr_14,cs616_wcr_2_rename,Period_2_rename,cs616_wcr_2_rename,dne,dne,dne,dne,SWC_J1_12p5_Avg,SWC_J1_12p5_Avg,SWC_J1_12p5_Avg,current
SWC_J1_20_Avg,dne,dne,Period_15,Period_15,Period_15,cs616_wcr_15,cs616_wcr_15,cs616_wcr_15,cs616_wcr_3_rename,Period_3_rename,cs616_wcr_3_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_J1_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,SWC_J1_32p5_Avg,SWC_J1_32p5_Avg,SWC_J1_32p5_Avg,current
SWC_J1_40_Avg,dne,dne,Period_16,Period_16,Period_16,cs616_wcr_16,cs616_wcr_16,cs616_wcr_16,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_J2_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_4_rename,Period_4_rename,cs616_wcr_4_rename,dne,dne,dne,dne,SWC_J2_2p5_Avg,SWC_J2_2p5_Avg,SWC_J2_2p5_Avg,current
SWC_J2_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_5_rename,Period_5_rename,cs616_wcr_5_rename,dne,dne,dne,dne,SWC_J2_12p5_Avg,SWC_J2_12p5_Avg,SWC_J2_12p5_Avg,current
SWC_J2_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_6_rename,Period_6_rename,cs616_wcr_6_rename,dne,dne,dne,dne,SWC_J2_32p5_Avg,SWC_J2_32p5_Avg,SWC_J2_32p5_Avg,current
SWC_O3_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_16_rename,Period_16_rename,cs616_wcr_16_rename,dne,dne,dne,dne,SWC_O3_2p5_Avg,SWC_O3_2p5_Avg,SWC_O3_2p5_Avg,current
SWC_O3_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_17_rename,dne,cs616_wcr_17_rename,dne,dne,dne,dne,SWC_O3_12p5_Avg,SWC_O3_12p5_Avg,SWC_O3_12p5_Avg,current
SWC_O3_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_18_rename,dne,cs616_wcr_18_rename,dne,dne,dne,dne,SWC_O3_32p5_Avg,SWC_O3_32p5_Avg,SWC_O3_32p5_Avg,current
SWC_J3_5_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_7_rename,Period_7_rename,cs616_wcr_7_rename,dne,dne,dne,dne,SWC_J3_2p5_Avg,SWC_J3_2p5_Avg,SWC_J3_2p5_Avg,current
SWC_J3_10_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_8_rename,Period_8_rename,cs616_wcr_8_rename,dne,dne,dne,dne,SWC_J3_12p5_Avg,SWC_J3_12p5_Avg,SWC_J3_12p5_Avg,current
SWC_J3_30_Avg,dne,dne,dne,dne,dne,dne,dne,dne,cs616_wcr_9_rename,Period_9_rename,cs616_wcr_9_rename,dne,dne,dne,dne,SWC_J3_32p5_Avg,SWC_J3_32p5_Avg,SWC_J3_32p5_Avg,current
SWC_O1_5_Avg_calc,dne,dne,VWC_1,VWC_1,VWC_1,soil_water_T_1,soil_water_T_1,soil_water_T_1,SWC_O1_2p5_rename,VWC_10_rename,SWC_O1_2p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_10_Avg_calc,dne,dne,VWC_2,VWC_2,VWC_2,soil_water_T_2,soil_water_T_2,soil_water_T_2,SWC_O1_12p5_rename,VWC_11_rename,SWC_O1_12p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_20_Avg_calc,dne,dne,VWC_3,VWC_3,VWC_3,soil_water_T_3,soil_water_T_3,soil_water_T_3,SWC_O1_22p5_rename,VWC_12_rename,SWC_O1_22p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_30_Avg_calc,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O1_40_Avg_calc,dne,dne,VWC_4,VWC_4,VWC_4,soil_water_T_4,soil_water_T_4,soil_water_T_4,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_5_Avg_calc,dne,dne,VWC_5,VWC_5,VWC_5,soil_water_T_5,soil_water_T_5,soil_water_T_5,SWC_O2_2p5_rename,VWC_13_rename,SWC_O2_2p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_10_Avg_calc,dne,dne,VWC_6,VWC_6,VWC_6,soil_water_T_6,soil_water_T_6,soil_water_T_6,SWC_O2_12p5_rename,VWC_14_rename,SWC_O2_12p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_20_Avg_calc,dne,dne,VWC_7,VWC_7,VWC_7,soil_water_T_7,soil_water_T_7,soil_water_T_7,SWC_O2_22p5_rename,VWC_15_rename,SWC_O2_22p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_30_Avg_calc,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_O2_40_Avg_calc,dne,dne,VWC_8,VWC_8,VWC_8,soil_water_T_8,soil_water_T_8,soil_water_T_8,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_5_Avg_calc,dne,dne,VWC_9,VWC_9,VWC_9,soil_water_T_9,soil_water_T_9,soil_water_T_9,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_10_Avg_calc,dne,dne,VWC_10,VWC_10,VWC_10,soil_water_T_10,soil_water_T_10,soil_water_T_10,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_20_Avg_calc,dne,dne,VWC_11,VWC_11,VWC_11,soil_water_T_11,soil_water_T_11,soil_water_T_11,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_30_Avg_calc,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_E1_40_Avg_calc,dne,dne,VWC_12,VWC_12,VWC_12,soil_water_T_12,soil_water_T_12,soil_water_T_12,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne
SWC_J1_5_Avg_calc,dne,dne,VWC_13,VWC_13,VWC_13,soil_water_T_13,soil_water_T_13,soil_water_T_13,SWC_J1_2p5_rename,VWC_1_rename,SWC_J1_2p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
SWC_J1_10_Avg_calc,dne,dne,VWC_14,VWC_14,VWC_14,soil_water_T_14,soil_water_T_14,soil_water_T_14,SWC_J1_12p5_rename,VWC_2_rename,SWC_J1_12p5_rename,dne,dne,dne,dne,dne,dne,dne,dne
