current,TOA5_PPine_2006_08_30_1300,TOA5_PPine_2006_11_18_2130,TOA5_PPine_2007_06_26_0900,TOA5_PPine_2008_07_08_1600,TOA5_PPine_2010_06_18_2030,TOA5_PPine_2010_10_07_1830,TOA5_PPine_2013_11_19_1600,TOA5_PPine_2013_12_28_1430,TOA5_PPine_2014_01_09_1000,TOA5_PPine_2014_03_20_0830,TOA5_PPine_2014_05_23_1430,TOA5_PPine_2014_06_12_1530,TOA5_PPine_2014_08_19_1530,TOA5_PPine_2014_10_09_1300
AirTC_1p35_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
AirTC_8p65_Avg,dne,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_4p95_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,AirTC_4p5_Avg,current
AirTC_16_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
AirTC_24_Avg,dne,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_Avg,AirTC_21p65_Avg,current,current,current,current,current,current,current
RH_1p35_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current
RH_8p65_Avg,dne,dne,dne,RH_2_Avg,RH_2_Avg,RH_2_Avg,RH_4p95_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,RH_4p5_Avg,current
RH_16_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
RH_24_Avg,dne,dne,dne,RH_Avg,RH_Avg,RH_Avg,RH_21p65_Avg,current,current,current,current,current,current,current
co2_mean_Avg,dne,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,co2_Avg,current,current,current,current,current,current
co2_um_m_Avg,dne,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current,current,current,current
stdev_Ts,dne,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current,current,current,current
stdev_Ux,dne,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current,current,current,current
stdev_Uy,dne,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current,current,current,current
stdev_Uz,dne,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current,current,current,current,current
stdev_co2,dne,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,cov_co2_co2,current,current,current,current,current,current
stdev_h2o,dne,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current,current,current,current,current
cov_Ts_Ux,dne,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,current,current,current,current,current,current
cov_Ts_Uy,dne,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,current,current,current,current,current,current
cov_Ts_Uz,dne,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,current,current,current,current,current,current
cov_Ux_Uz,dne,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,current,current,current,current,current,current
cov_Uy_Uz,dne,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,current,current,current,current,current,current
cov_co2_Ux,dne,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,current,current,current,current,current,current
cov_co2_Uy,dne,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,current,current,current,current,current,current
cov_co2_Uz,dne,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,current,current,current,current,current,current
cov_h2o_Ux,dne,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,current,current,current,current,current,current
cov_h2o_Uy,dne,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,current,current,current,current,current,current
cov_h2o_Uz,dne,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,current,current,current,current,current,current
e_hmp_mean_Avg,dne,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,e_Avg,current,current,current,current,current,current
h2o_mean_Avg,dne,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,current,current,current,current,current,current
h2o_hmp_mean_Avg,dne,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,current,current,current,current,current,current
h2o_mm_m_Avg,dne,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,current,current,current,current,current,current
Hc,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current
Hs,current,current,current,current,current,current,current,current,dne,dne,dne,dne,dne,dne
Rad_long_Dn_Avg,,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,current,current,current,current,current
Rad_long_Up_Avg,,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,current,current,current,current,current
Rad_short_Dn_Avg,Rad_short_Up_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
Rad_short_Up_Avg,Rad_short_Dn_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
NetTot_Avg,Rn_total_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
NetRs_Avg,Rn_short_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
NetRl_Avg,Rn_long_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
par_faceup_Avg,dne,dne,par_Avg,par_Avg,par_up_Avg,par_up_Avg,par_up_Avg,current,current,current,current,current,current,current
par_facedown_Avg,dne,dne,dne,dne,par_down_Avg,par_down_Avg,par_down_Avg,current,current,current,current,current,current,current
CNR1TC_Avg,Temp_C_Avg_1,current,current,current,current,current,current,current,current,current,current,current,current,current
rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,current,current,current,current,current,current
sig_lck_f_Tot,dne,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,track_f_Tot,current,current,current,current,current,current
SWC_P1_5_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_1,dne,dne,current,current,current,current
SWC_P1_10_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_2,dne,dne,current,current,current,current
SWC_P1_30_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_3,dne,dne,current,current,current,current
SWC_P1_60_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_4,dne,dne,current,current,current,current
SWC_P2_5_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_5,dne,dne,current,current,current,current
SWC_P2_10_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_6,dne,dne,current,current,current,current
SWC_P2_30_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_7,dne,dne,current,current,current,current
SWC_P2_60_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_8,dne,dne,current,current,current,current
SWC_P3_5_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_9,dne,dne,current,current,current,current
SWC_P3_10_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_10,dne,dne,current,current,current,current
SWC_P3_30_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_11,dne,dne,current,current,current,current
SWC_P3_60_Avg,dne,dne,dne,dne,dne,dne,dne,SWC_Avg_12,dne,dne,current,current,current,current
SoilT_P1_5_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_1,dne,dne,current,current,current,current
SoilT_P1_10_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_2,dne,dne,current,current,current,current
SoilT_P1_30_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_3,dne,dne,current,current,current,current
SoilT_P1_60_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_4,dne,dne,current,current,current,current
SoilT_P2_5_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_5,dne,dne,current,current,current,current
SoilT_P2_10_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_6,dne,dne,current,current,current,current
SoilT_P2_30_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_7,dne,dne,current,current,current,current
SoilT_P2_60_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_8,dne,dne,current,current,current,current
SoilT_P3_5_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_9,dne,dne,current,current,current,current
SoilT_P3_10_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_10,dne,dne,current,current,current,current
SoilT_P3_30_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_11,dne,dne,current,current,current,current
SoilT_P3_60_Avg,dne,dne,dne,dne,dne,dne,dne,T107_Avg_12,dne,dne,current,current,current,current
Soil_CO2_P1_5_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P1_10_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P1_30_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P1_60_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P2_5_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P2_10_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P2_30_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P2_60_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P3_5_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P3_10_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P3_30_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
Soil_CO2_P3_60_Avg,dne,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
shf_p1_open_Avg,dne,dne,dne,dne,dne,dne,dne,shf_open_pit1_Avg,current,current,current,current,current,current
shf_p2_open_Avg,dne,dne,dne,dne,dne,dne,dne,shf_open_pit2_Avg,current,current,current,current,current,current
shf_p3_tree_Avg,dne,dne,dne,dne,dne,dne,dne,shf_tree_Avg,current,current,current,current,current,current
T_shf_tree_Avg,dne,dne,dne,dne,dne,dne,dne,current,dne,dne,dne,dne,dne,dne
shf_p4_Hukesflux_Avg,dne,dne,dne,dne,dne,Hukesflux_Avg,Hukesflux_Avg,shf_Hukesflux_Avg,current,current,dne,dne,dne,dne
pit1_soilT_shf_2_Avg,dne,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T_shf_open_east_2cm_Avg,pit1_soilT_shf_2cm_Avg,pit1_soilT_shf_2cm_Avg,pit3_soilT_shf_2_Avg,current,current,current
pit1_soilT_shf_6_Avg,dne,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T_shf_open_east_6cm_Avg,pit1_soilT_shf_6cm_Avg,pit1_soilT_shf_6cm_Avg,pit3_soilT_shf_6_Avg,current,current,current
pit2_soilT_shf_2_Avg,dne,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T_shf_open_west_6cm_Avg,pit2_soilT_shf_2cm_Avg,pit2_soilT_shf_2cm_Avg,current,current,current,current
pit2_soilT_shf_6_Avg,dne,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T_shf_open_west_2cm_Avg,pit2_soilT_shf_6cm_Avg,pit2_soilT_shf_6cm_Avg,current,current,current,current
tcav_p3_Avg,dne,dne,dne,dne,dne,TCAV_Avg,TCAV_Avg,dne,current,current,tcav_p1_Avg,current,current,current
sap_PP_1a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_1b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_1c_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_1d_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_2a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_2b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_2c_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_2d_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_3a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_3b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_3c_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_3d_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_4a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_4b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_4c_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_4d_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current
sap_PP_5a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_5b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_6a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_6b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_7a_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
sap_PP_7b_Avg,dne,dne,dne,dne,dne,dne,dne,dne,dne,dne,current,current,current,current
