current,TOA5_SLand_2007_05_30_1800,TOA5_SLand_2007_11_27_1100,TOA5_SLand_2009_02_18_1800,TOA5_SLand_2009_06_24_1530,TOA5_SLand_2011_06_13_1500,TOA5_SLand_2012_08_06_1430,TOA5_SLand_2014_01_17_1430,TOA5_SLand_2014_05_08_0830,TOA5_SLand_2014_11_19_1730
AirTC_Avg,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,t_hmp_mean,current,current,current
RH_Avg,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,rh_hmp,current,current,current
co2_mean_Avg,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,co2_mean,current,current,current
stdev_co2,current,current,current,current,current,current,current,current,current
stdev_h2o,current,current,current,current,current,current,current,current,current
stdev_Ts,current,current,current,current,current,current,current,current,current
cov_co2_Ux,current,current,current,current,current,current,current,current,current
cov_h2o_Ux,current,current,current,current,current,current,current,current,current
cov_Ts_Ux,current,current,current,current,current,current,current,current,current
stdev_Ux,current,current,current,current,current,current,current,current,current
cov_Ux_Uy,current,current,current,current,current,current,current,current,current
cov_co2_Uy,current,current,current,current,current,current,current,current,current
cov_h2o_Uy,current,current,current,current,current,current,current,current,current
cov_Ts_Uy,current,current,current,current,current,current,current,current,current
stdev_Uy,current,current,current,current,current,current,current,current,current
cov_co2_Uz,current,current,current,current,current,current,current,current,current
cov_h2o_Uz,current,current,current,current,current,current,current,current,current
cov_Ts_Uz,current,current,current,current,current,current,current,current,current
cov_Ux_Uz,current,current,current,current,current,current,current,current,current
cov_Uy_Uz,current,current,current,current,current,current,current,current,current
stdev_Uz,current,current,current,current,current,current,current,current,current
e_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,current,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,h2o_Avg,current,current,current
h2o_hmp_mean_Avg,dne,dne,dne,dne,dne,dne,current,current,current
h2o_mm_m_Avg,current,current,current,current,current,current,current,current,current
Hc,current,current,current,current,current,current,current,current,current
Hs,current,current,current,current,current,current,dne,dne,dne
par_face_down_Avg,dne,dne,dne,dne,par_upwelling_Avg,par_upwelling_Avg,current,current,current
par_face_up_Avg,par_Avg,par_Avg,par_Avg,par_Avg,par_incoming_Avg,par_incoming_Avg,current,current,current
Rad_long_Dn__Avg,current,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,Rad_long_Dn_Avg,current,current,current
Rad_long_Up__Avg,current,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,Rad_long_Up_Avg,current,current,current
rho_a_mean_Avg,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,rho_a_mean,current,current,current
sig_lck_f_Tot,current,current,current,current,current,current,current,current,current
CNR1TC_Avg,current,current,current,current,current,current,current,current,current
SWC_O1_2p5_Avg,cs616_wcr_1,cs616_wcr_1,cs616_wcr_Avg_1,cs616_wcr_Avg_1,soil_h2o_o1_2p5_Avg,soil_h2o_o1_2p5_Avg,current,current,current
SWC_O1_12p5_Avg,cs616_wcr_2,cs616_wcr_2,cs616_wcr_Avg_2,cs616_wcr_Avg_2,soil_h2o_o1_12p5_Avg,soil_h2o_o1_12p5_Avg,current,current,current
SWC_O1_22p5_Avg,cs616_wcr_3,cs616_wcr_3,cs616_wcr_Avg_3,cs616_wcr_Avg_3,soil_h2o_o1_22p5_Avg,soil_h2o_o1_22p5_Avg,current,current,current
SWC_O1_37p5_Avg,cs616_wcr_4,cs616_wcr_4,cs616_wcr_Avg_4,cs616_wcr_Avg_4,soil_h2o_o1_37p5_Avg,soil_h2o_o1_37p5_Avg,current,current,current
SWC_O1_52p5_Avg,cs616_wcr_5,cs616_wcr_5,cs616_wcr_Avg_5,cs616_wcr_Avg_5,soil_h2o_o1_52p5_Avg,soil_h2o_o1_52p5_Avg,current,current,current
SWC_S1_2p5_Avg,cs616_wcr_6,cs616_wcr_6,cs616_wcr_Avg_6,cs616_wcr_Avg_6,soil_h2o_s1_2p5_Avg,soil_h2o_s1_2p5_Avg,current,current,current
SWC_S1_12p5_Avg,cs616_wcr_7,cs616_wcr_7,cs616_wcr_Avg_7,cs616_wcr_Avg_7,soil_h2o_s1_12p5_Avg,soil_h2o_s1_12p5_Avg,current,current,current
SWC_S1_22p5_Avg,cs616_wcr_8,cs616_wcr_8,cs616_wcr_Avg_8,cs616_wcr_Avg_8,soil_h2o_s1_22p5_Avg,soil_h2o_s1_22p5_Avg,current,current,current
SWC_S1_37p5_Avg,cs616_wcr_9,cs616_wcr_9,cs616_wcr_Avg_9,cs616_wcr_Avg_9,soil_h2o_s1_37p5_Avg,soil_h2o_s1_37p5_Avg,current,current,current
SWC_S1_52p5_Avg,cs616_wcr_10,cs616_wcr_10,cs616_wcr_Avg_10,cs616_wcr_Avg_10,soil_h2o_s1_52p5_Avg,soil_h2o_s1_52p5_Avg,current,current,current
SWC_O2_2p5_Avg,cs616_wcr_11,cs616_wcr_11,cs616_wcr_Avg_11,cs616_wcr_Avg_11,soil_h2o_o2_2p5_Avg,soil_h2o_o2_2p5_Avg,current,current,current
SWC_O2_12p5_Avg,cs616_wcr_12,cs616_wcr_12,cs616_wcr_Avg_12,cs616_wcr_Avg_12,soil_h2o_o2_12p5_Avg,soil_h2o_o2_12p5_Avg,current,current,current
SWC_O2_22p5_Avg,cs616_wcr_13,cs616_wcr_13,cs616_wcr_Avg_13,cs616_wcr_Avg_13,soil_h2o_o2_22p5_Avg,soil_h2o_o2_22p5_Avg,current,current,current
SWC_O2_37p5_Avg,cs616_wcr_14,cs616_wcr_14,cs616_wcr_Avg_14,cs616_wcr_Avg_14,soil_h2o_o2_37p5_Avg,soil_h2o_o2_37p5_Avg,current,current,current
SWC_O2_52p5_Avg,cs616_wcr_15,cs616_wcr_15,cs616_wcr_Avg_15,cs616_wcr_Avg_15,soil_h2o_o2_52p5_Avg,soil_h2o_o2_52p5_Avg,current,current,current
SWC_S2_2p5_Avg,cs616_wcr_16,cs616_wcr_16,cs616_wcr_Avg_16,cs616_wcr_Avg_16,soil_h2o_s2_2p5_Avg,soil_h2o_s2_2p5_Avg,current,current,current
SWC_S2_12p5_Avg,cs616_wcr_17,cs616_wcr_17,cs616_wcr_Avg_17,cs616_wcr_Avg_17,soil_h2o_s2_12p5_Avg,soil_h2o_s2_12p5_Avg,current,current,current
SWC_S2_22p5_Avg,cs616_wcr_18,cs616_wcr_18,cs616_wcr_Avg_18,cs616_wcr_Avg_18,soil_h2o_s2_22p5_Avg,soil_h2o_s2_22p5_Avg,current,current,current
SWC_S2_37p5_Avg,cs616_wcr_19,cs616_wcr_19,cs616_wcr_Avg_19,cs616_wcr_Avg_19,soil_h2o_s2_37p5_Avg,soil_h2o_s2_37p5_Avg,current,current,current
SWC_S2_52p5_Avg,cs616_wcr_20,cs616_wcr_20,cs616_wcr_Avg_20,cs616_wcr_Avg_20,soil_h2o_s2_52p5_Avg,soil_h2o_s2_52p5_Avg,current,current,current
dummy1_Avg,cs616_wcr_21,cs616_wcr_21,cs616_wcr_Avg_21,cs616_wcr_Avg_21,current,current,dne,dne,dne
dummy2_Avg,dne,dne,cs616_wcr_Avg_22,cs616_wcr_Avg_22,current,current,dne,dne,dne
soil_water_T_Avg_1,soil_water_T_1,soil_water_T_1,current,current,current,current,dne,dne,dne
soil_water_T_Avg_2,soil_water_T_2,soil_water_T_2,current,current,current,current,dne,dne,dne
soil_water_T_Avg_3,soil_water_T_3,soil_water_T_3,current,current,current,current,dne,dne,dne
soil_water_T_Avg_4,soil_water_T_4,soil_water_T_4,current,current,current,current,dne,dne,dne
soil_water_T_Avg_5,soil_water_T_5,soil_water_T_5,current,current,current,current,dne,dne,dne
soil_water_T_Avg_6,soil_water_T_6,soil_water_T_6,current,current,current,current,dne,dne,dne
soil_water_T_Avg_7,soil_water_T_7,soil_water_T_7,current,current,current,current,dne,dne,dne
soil_water_T_Avg_8,soil_water_T_8,soil_water_T_8,current,current,current,current,dne,dne,dne
soil_water_T_Avg_9,soil_water_T_9,soil_water_T_9,current,current,current,current,dne,dne,dne
soil_water_T_Avg_10,soil_water_T_10,soil_water_T_10,current,current,current,current,dne,dne,dne
soil_water_T_Avg_11,soil_water_T_11,soil_water_T_11,current,current,current,current,dne,dne,dne
soil_water_T_Avg_12,soil_water_T_12,soil_water_T_12,current,current,current,current,dne,dne,dne
soil_water_T_Avg_13,soil_water_T_13,soil_water_T_13,current,current,current,current,dne,dne,dne
soil_water_T_Avg_14,soil_water_T_14,soil_water_T_14,current,current,current,current,dne,dne,dne
soil_water_T_Avg_15,soil_water_T_15,soil_water_T_15,current,current,current,current,dne,dne,dne
soil_water_T_Avg_16,soil_water_T_16,soil_water_T_16,current,current,current,current,dne,dne,dne
soil_water_T_Avg_17,soil_water_T_17,soil_water_T_17,current,current,current,current,dne,dne,dne
soil_water_T_Avg_18,soil_water_T_18,soil_water_T_18,current,current,current,current,dne,dne,dne
soil_water_T_Avg_19,soil_water_T_19,soil_water_T_19,current,current,current,current,dne,dne,dne
soil_water_T_Avg_20,soil_water_T_20,soil_water_T_20,current,current,current,current,dne,dne,dne
soil_water_T_Avg_21,soil_water_T_21,soil_water_T_21,current,current,current,current,dne,dne,dne
soil_water_T_Avg_22,dne,dne,current,current,current,current,dne,dne,dne
SoilT_O1_2p5_Avg,dne,dne,dne,mux25t_signal_Avg_1,mux25t_signal_Avg_1,soilt_O1_2p5_Avg,current,current,current
SoilT_O1_12p5_Avg,dne,dne,dne,mux25t_signal_Avg_2,mux25t_signal_Avg_2,soilt_O1_12p5_Avg,current,current,current
SoilT_O1_22p5_Avg,dne,dne,dne,mux25t_signal_Avg_3,mux25t_signal_Avg_3,soilt_O1_22p5_Avg,current,current,current
SoilT_O1_37p5_Avg,dne,dne,dne,mux25t_signal_Avg_4,mux25t_signal_Avg_4,soilt_O1_37p5_Avg,current,current,current
SoilT_O1_52p5_Avg,dne,dne,dne,mux25t_signal_Avg_5,mux25t_signal_Avg_5,soilt_O1_52p5_Avg,current,current,current
SoilT_S1_2p5_Avg,dne,dne,dne,mux25t_signal_Avg_6,mux25t_signal_Avg_6,soilt_S1_2p5_Avg,current,current,current
SoilT_S1_12p5_Avg,dne,dne,dne,mux25t_signal_Avg_7,mux25t_signal_Avg_7,soilt_S1_12p5_Avg,current,current,current
SoilT_S1_22p5_Avg,dne,dne,dne,mux25t_signal_Avg_8,mux25t_signal_Avg_8,soilt_S1_22p5_Avg,current,current,current
SoilT_S1_37p5_Avg,dne,dne,dne,mux25t_signal_Avg_9,mux25t_signal_Avg_9,soilt_S1_37p5_Avg,current,current,current
SoilT_S1_52p5_Avg,dne,dne,dne,mux25t_signal_Avg_10,mux25t_signal_Avg_10,soilt_S1_52p5_Avg,current,current,current
SoilT_O2_2p5_Avg,dne,dne,dne,mux25t_signal_Avg_11,mux25t_signal_Avg_11,soilt_O2_2p5_Avg,current,current,current
SoilT_O2_12p5_Avg,dne,dne,dne,mux25t_signal_Avg_12,mux25t_signal_Avg_12,soilt_O2_12p5_Avg,current,current,current
SoilT_O2_22p5_Avg,dne,dne,dne,mux25t_signal_Avg_13,mux25t_signal_Avg_13,soilt_O2_22p5_Avg,current,current,current
SoilT_O2_37p5_Avg,dne,dne,dne,mux25t_signal_Avg_14,mux25t_signal_Avg_14,soilt_O2_37p5_Avg,current,current,current
SoilT_O2_52p5_Avg,dne,dne,dne,mux25t_signal_Avg_15,mux25t_signal_Avg_15,soilt_O2_52p5_Avg,current,current,current
SoilT_S2_2p5_Avg,dne,dne,dne,mux25t_signal_Avg_16,mux25t_signal_Avg_16,soilt_S2_2p5_Avg,current,current,current
SoilT_S2_12p5_Avg,dne,dne,dne,mux25t_signal_Avg_17,mux25t_signal_Avg_17,soilt_S2_12p5_Avg,current,current,current
SoilT_S2_22p5_Avg,dne,dne,dne,mux25t_signal_Avg_18,mux25t_signal_Avg_18,soilt_S2_22p5_Avg,current,current,current
SoilT_S2_37p5_Avg,dne,dne,dne,mux25t_signal_Avg_19,mux25t_signal_Avg_19,soilt_S2_37p5_Avg,current,current,current
SoilT_S2_52p5_Avg,dne,dne,dne,mux25t_signal_Avg_20,mux25t_signal_Avg_20,soilt_S2_52p5_Avg,current,current,current
Soil_CO2_S1_5_Avg,dne,dne,dne,dne,soil_co2_shrub1_5cm_Avg,soil_co2_shrub1_5cm_Avg,current,current,current
Soil_CO2_S1_10_Avg,dne,dne,dne,dne,soil_co2_shrub1_10cm_Avg,soil_co2_shrub1_10cm_Avg,current,current,current
Soil_CO2_S1_20_Avg,dne,dne,dne,dne,soil_co2_shrub1_20cm_Avg,soil_co2_shrub1_20cm_Avg,current,dne,dne
Soil_CO2_S1_50_Avg,dne,dne,dne,dne,soil_co2_shrub1_50cm_Avg,soil_co2_shrub1_50cm_Avg,current,dne,dne
Soil_CO2_S2_5_Avg,dne,dne,dne,dne,soil_co2_shrub2_5cm_Avg,soil_co2_shrub2_5cm_Avg,current,current,current
Soil_CO2_S2_10_Avg,dne,dne,dne,dne,soil_co2_shrub2_10cm_Avg,soil_co2_shrub2_10cm_Avg,current,current,current
Soil_CO2_S2_20_Avg,dne,dne,dne,dne,soil_co2_shrub2_20cm_Avg,soil_co2_shrub2_20cm_Avg,current,dne,dne
Soil_CO2_S2_50_Avg,dne,dne,dne,dne,soil_co2_shrub2_50cm_Avg,soil_co2_shrub2_50cm_Avg,current,dne,dne
Soil_CO2_S3_5_Avg,dne,dne,dne,dne,soil_co2_shrub3_5cm_Avg,soil_co2_shrub3_5cm_Avg,current,current,current
Soil_CO2_S3_10_Avg,dne,dne,dne,dne,soil_co2_shrub3_10cm_Avg,soil_co2_shrub3_10cm_Avg,current,current,current
Soil_CO2_S3_20_Avg,dne,dne,dne,dne,soil_co2_shrub3_20cm_Avg,soil_co2_shrub3_20cm_Avg,current,dne,dne
Soil_CO2_S3_50_Avg,dne,dne,dne,dne,soil_co2_shrub3_50cm_Avg,soil_co2_shrub3_50cm_Avg,current,dne,dne
shf_sh_1_Avg,shf_Avg_1,shf_Avg_1,hfp01_1_Avg,hfp01_1_Avg,current,current,current,current,current
shf_sh_2_Avg,shf_Avg_2,shf_Avg_2,hfp01_2_Avg,hfp01_2_Avg,current,current,current,current,current
shf_gr_1_Avg,dne,dne,hfp01_3_Avg,hfp01_3_Avg,current,current,current,current,dne
shf_gr_2_Avg,dne,dne,hfp01_4_Avg,hfp01_4_Avg,current,current,current,current,dne
shf_op_1_Avg,dne,dne,hfp01_5_Avg,hfp01_5_Avg,current,current,current,current,current
shf_op_2_Avg,dne,dne,hfp01_6_Avg,hfp01_6_Avg,current,current,current,current,current
TCAV_Avg,dne,dne,dne,dne,dne,dne,current,current,current
